timestamp,user_id,event_type,resource,status,duration_ms
2025-11-11 14:25:51,admin,VIEW_REPORT,AuditLogs,SUCCESS,2659
2025-11-11 08:21:20,jdoe,ADMIN_CONFIG,InventoryReport,SUCCESS,273
2025-11-11 20:10:17,clane,LOGIN,SystemSettings,SUCCESS,4785
2025-11-11 11:04:06,asmith,LOGIN,SalesDashboard,SUCCESS,639
2025-11-11 11:40:58,asmith,LOGIN,AuditLogs,SUCCESS,274
2025-11-11 11:45:23,clane,CREATE_USER,UserManagement,SUCCESS,409
2025-11-11 16:45:13,admin,LOGIN,SystemSettings,SUCCESS,4276
2025-11-11 14:45:22,admin,EXPORT_REPORT,AuditLogs,SUCCESS,2329
2025-11-11 13:08:50,bwhite,DELETE_USER,AuditLogs,SUCCESS,2096
2025-11-11 14:35:46,asmith,CREATE_USER,SalesDashboard,SUCCESS,1496
2025-11-11 11:29:44,davis,LOGIN,UserManagement,SUCCESS,1397
2025-11-11 12:03:41,admin,LOGOUT,AuditLogs,SUCCESS,4665
2025-11-11 14:48:22,bwhite,EXPORT_REPORT,SystemSettings,SUCCESS,2209
2025-11-11 14:54:12,admin,VIEW_REPORT,AuditLogs,SUCCESS,4450
2025-11-11 22:38:20,asmith,VIEW_REPORT,UserManagement,SUCCESS,4843
2025-11-11 13:29:15,asmith,VIEW_REPORT,InventoryReport,SUCCESS,673
2025-11-11 10:40:23,bwhite,EXPORT_REPORT,InventoryReport,SUCCESS,4786
2025-11-11 09:38:15,clane,VIEW_REPORT,InventoryReport,SUCCESS,3163
2025-11-11 15:58:28,jdoe,ADMIN_CONFIG,SalesDashboard,SUCCESS,37
2025-11-11 13:40:56,davis,CREATE_USER,SalesDashboard,SUCCESS,2533
2025-11-11 09:30:47,admin,LOGOUT,SalesDashboard,SUCCESS,1799
2025-11-11 00:04:14,davis,ADMIN_CONFIG,UserManagement,SUCCESS,1088
2025-11-11 09:17:41,jdoe,ADMIN_CONFIG,UserManagement,SUCCESS,181
2025-11-11 14:46:02,jdoe,EXPORT_REPORT,SalesDashboard,SUCCESS,2759
2025-11-11 19:57:07,asmith,CREATE_USER,AuditLogs,SUCCESS,152
2025-11-11 07:18:14,asmith,LOGIN,UserManagement,FAILURE,2900
2025-11-11 13:35:29,admin,VIEW_REPORT,SalesDashboard,SUCCESS,2285
2025-11-11 14:21:37,bwhite,EXPORT_REPORT,UserManagement,SUCCESS,965
2025-11-11 15:09:22,asmith,EXPORT_REPORT,SalesDashboard,SUCCESS,709
2025-11-11 08:24:56,admin,DELETE_USER,InventoryReport,SUCCESS,4735
2025-11-11 13:12:31,admin,DELETE_USER,UserManagement,SUCCESS,2704
2025-11-11 14:52:41,admin,LOGIN,UserManagement,SUCCESS,4859
2025-11-11 22:55:36,davis,VIEW_REPORT,InventoryReport,SUCCESS,1110
2025-11-11 11:16:53,bwhite,LOGOUT,SystemSettings,SUCCESS,4381
2025-11-11 15:47:31,bwhite,ADMIN_CONFIG,AuditLogs,SUCCESS,1428
2025-11-11 13:20:30,davis,ADMIN_CONFIG,SystemSettings,SUCCESS,2482
2025-11-11 12:36:00,clane,EXPORT_REPORT,UserManagement,SUCCESS,3832
2025-11-11 16:09:55,jdoe,VIEW_REPORT,AuditLogs,SUCCESS,3688
2025-11-11 10:36:44,clane,VIEW_REPORT,AuditLogs,SUCCESS,4269
2025-11-11 21:42:40,bwhite,ADMIN_CONFIG,AuditLogs,SUCCESS,2118
2025-11-11 01:20:09,clane,LOGOUT,SalesDashboard,SUCCESS,738
2025-11-11 13:24:20,jdoe,VIEW_REPORT,AuditLogs,SUCCESS,2986
2025-11-11 11:26:51,clane,ADMIN_CONFIG,UserManagement,SUCCESS,2985
2025-11-11 15:51:45,jdoe,CREATE_USER,SalesDashboard,SUCCESS,3869
2025-11-11 12:56:12,jdoe,CREATE_USER,SalesDashboard,SUCCESS,3147
2025-11-11 10:51:27,bwhite,EXPORT_REPORT,UserManagement,SUCCESS,3539
2025-11-11 16:49:02,jdoe,ADMIN_CONFIG,InventoryReport,SUCCESS,1130
2025-11-11 08:40:52,admin,CREATE_USER,InventoryReport,SUCCESS,3373
2025-11-11 14:11:05,clane,LOGIN,SystemSettings,SUCCESS,3737
2025-11-11 15:10:49,davis,LOGIN,UserManagement,SUCCESS,4656
2025-11-11 16:51:20,bwhite,LOGOUT,UserManagement,SUCCESS,802
2025-11-11 13:59:44,asmith,LOGIN,AuditLogs,SUCCESS,92
2025-11-11 10:32:20,admin,LOGOUT,AuditLogs,SUCCESS,1445
2025-11-11 14:31:09,bwhite,LOGOUT,UserManagement,SUCCESS,1969
2025-11-11 08:41:44,asmith,CREATE_USER,UserManagement,SUCCESS,3429
2025-11-11 18:21:22,jdoe,ADMIN_CONFIG,UserManagement,SUCCESS,139
2025-11-11 11:30:36,bwhite,DELETE_USER,SalesDashboard,SUCCESS,290
2025-11-11 16:00:44,bwhite,DELETE_USER,AuditLogs,SUCCESS,38
2025-11-11 09:41:35,clane,VIEW_REPORT,UserManagement,SUCCESS,4724
2025-11-11 11:33:10,jdoe,VIEW_REPORT,UserManagement,SUCCESS,78
2025-11-11 11:07:43,asmith,CREATE_USER,UserManagement,SUCCESS,601
2025-11-11 15:32:15,davis,ADMIN_CONFIG,AuditLogs,SUCCESS,2366
2025-11-11 12:45:19,davis,EXPORT_REPORT,UserManagement,SUCCESS,871
2025-11-11 15:47:28,clane,LOGOUT,AuditLogs,SUCCESS,2095
2025-11-11 08:59:43,asmith,EXPORT_REPORT,InventoryReport,SUCCESS,3081
2025-11-11 08:38:22,davis,VIEW_REPORT,InventoryReport,SUCCESS,3038
2025-11-11 13:31:08,jdoe,VIEW_REPORT,InventoryReport,SUCCESS,4182
2025-11-11 00:50:31,davis,CREATE_USER,AuditLogs,SUCCESS,286
2025-11-11 00:59:16,asmith,DELETE_USER,SystemSettings,SUCCESS,4327
2025-11-11 08:54:38,asmith,LOGOUT,UserManagement,SUCCESS,3598
2025-11-11 22:23:00,asmith,ADMIN_CONFIG,SalesDashboard,SUCCESS,910
2025-11-11 10:21:10,asmith,LOGOUT,InventoryReport,FAILURE,251
2025-11-12 15:57:02,clane,EXPORT_REPORT,AuditLogs,SUCCESS,4361
2025-11-12 10:50:10,admin,ADMIN_CONFIG,SalesDashboard,SUCCESS,4551
2025-11-12 16:00:59,davis,VIEW_REPORT,InventoryReport,SUCCESS,78
2025-11-12 09:39:52,jdoe,VIEW_REPORT,InventoryReport,SUCCESS,3113
2025-11-12 14:10:13,clane,ADMIN_CONFIG,SalesDashboard,SUCCESS,1804
2025-11-12 11:39:59,jdoe,EXPORT_REPORT,SystemSettings,SUCCESS,4144
2025-11-12 13:46:48,bwhite,EXPORT_REPORT,AuditLogs,SUCCESS,2122
2025-11-12 16:30:49,jdoe,LOGIN,UserManagement,SUCCESS,2271
2025-11-12 10:48:42,asmith,CREATE_USER,SystemSettings,SUCCESS,2754
2025-11-12 16:58:25,bwhite,EXPORT_REPORT,InventoryReport,SUCCESS,656
2025-11-12 13:24:28,bwhite,CREATE_USER,InventoryReport,SUCCESS,2194
2025-11-12 11:54:56,admin,EXPORT_REPORT,AuditLogs,SUCCESS,871
2025-11-12 08:32:00,jdoe,EXPORT_REPORT,UserManagement,SUCCESS,2292
2025-11-12 15:43:59,jdoe,LOGIN,InventoryReport,FAILURE,193
2025-11-12 11:24:37,bwhite,DELETE_USER,SystemSettings,SUCCESS,1561
2025-11-12 15:53:44,jdoe,DELETE_USER,InventoryReport,SUCCESS,2609
2025-11-12 03:53:56,admin,ADMIN_CONFIG,InventoryReport,SUCCESS,2168
2025-11-12 16:07:10,admin,ADMIN_CONFIG,AuditLogs,SUCCESS,2467
2025-11-12 12:01:54,admin,VIEW_REPORT,AuditLogs,SUCCESS,1382
2025-11-12 16:04:43,bwhite,EXPORT_REPORT,SalesDashboard,SUCCESS,4595
2025-11-12 11:26:29,admin,LOGIN,SalesDashboard,SUCCESS,723
2025-11-12 09:52:35,jdoe,CREATE_USER,AuditLogs,SUCCESS,4681
2025-11-12 11:36:16,clane,CREATE_USER,UserManagement,SUCCESS,2292
2025-11-12 14:33:44,davis,ADMIN_CONFIG,UserManagement,SUCCESS,371
2025-11-12 08:36:19,bwhite,DELETE_USER,SalesDashboard,SUCCESS,4128
2025-11-12 12:56:52,clane,DELETE_USER,UserManagement,SUCCESS,2489
2025-11-12 11:45:52,asmith,CREATE_USER,UserManagement,SUCCESS,4574
2025-11-12 16:40:53,asmith,LOGIN,SalesDashboard,SUCCESS,2434
2025-11-12 11:39:54,asmith,ADMIN_CONFIG,SystemSettings,SUCCESS,4477
2025-11-12 08:34:26,asmith,LOGIN,UserManagement,SUCCESS,587
2025-11-12 09:53:34,bwhite,DELETE_USER,SalesDashboard,SUCCESS,337
2025-11-12 08:39:28,admin,DELETE_USER,UserManagement,SUCCESS,1579
2025-11-12 13:40:38,bwhite,VIEW_REPORT,SystemSettings,SUCCESS,4310
2025-11-12 11:47:48,bwhite,ADMIN_CONFIG,SystemSettings,SUCCESS,3424
2025-11-12 09:32:48,bwhite,VIEW_REPORT,SystemSettings,SUCCESS,810
2025-11-12 16:07:36,clane,DELETE_USER,InventoryReport,SUCCESS,919
2025-11-12 09:37:44,asmith,LOGIN,SalesDashboard,SUCCESS,3941
2025-11-12 14:17:25,jdoe,CREATE_USER,InventoryReport,SUCCESS,98
