TransactionID,Amount,Status,CreatedAt
TXN103,100.00,PENDING,3/30/2026 9:16:06 PM
TXN100,50.00,PAID,4/23/2026 6:39:45 PM
TXN101,-15.00,FAILED,4/23/2026 6:39:45 PM
TXN102,0.00,INVALID,4/23/2026 6:39:45 PM
TXN103,100.00,PENDING,4/23/2026 6:39:45 PM
TXN100,50.00,PAID,4/25/2026 1:01:19 PM
TXN101,-15.00,FAILED,4/25/2026 1:01:19 PM
TXN102,0.00,INVALID,4/25/2026 1:01:19 PM
TXN103,100.00,PENDING,4/25/2026 1:01:19 PM
TXN100,50.00,PAID,4/25/2026 4:52:57 PM
TXN101,-15.00,FAILED,4/25/2026 4:52:57 PM
TXN102,0.00,INVALID,4/25/2026 4:52:57 PM
TXN103,100.00,PENDING,4/25/2026 4:52:57 PM
TXN100,50.00,PAID,4/25/2026 5:02:10 PM
TXN101,-15.00,FAILED,4/25/2026 5:02:10 PM
TXN102,0.00,INVALID,4/25/2026 5:02:10 PM
TXN103,100.00,PENDING,4/25/2026 5:02:10 PM
TXN100,50.00,PAID,4/25/2026 9:21:56 PM
TXN101,-15.00,FAILED,4/25/2026 9:21:56 PM
TXN102,0.00,INVALID,4/25/2026 9:21:56 PM
TXN103,100.00,PENDING,4/25/2026 9:21:56 PM
TXN100,50.00,PAID,4/25/2026 9:49:48 PM
TXN101,-15.00,FAILED,4/25/2026 9:49:48 PM
TXN102,0.00,INVALID,4/25/2026 9:49:48 PM
TXN103,100.00,PENDING,4/25/2026 9:49:48 PM
TXN100,50.00,PAID,4/26/2026 5:59:36 AM
TXN101,-15.00,FAILED,4/26/2026 5:59:36 AM
TXN102,0.00,INVALID,4/26/2026 5:59:36 AM
TXN103,100.00,PENDING,4/26/2026 5:59:36 AM
TXN100,50.00,PAID,4/26/2026 6:14:24 AM
TXN101,-15.00,FAILED,4/26/2026 6:14:24 AM
TXN102,0.00,INVALID,4/26/2026 6:14:24 AM
TXN103,100.00,PENDING,4/26/2026 6:14:24 AM
TXN100,50.00,PAID,4/26/2026 6:30:29 AM
TXN101,-15.00,FAILED,4/26/2026 6:30:29 AM
TXN102,0.00,INVALID,4/26/2026 6:30:29 AM
TXN103,100.00,PENDING,4/26/2026 6:30:29 AM
TXN100,50.00,PAID,4/26/2026 6:36:24 AM
TXN101,-15.00,FAILED,4/26/2026 6:36:24 AM
TXN102,0.00,INVALID,4/26/2026 6:36:24 AM
TXN103,100.00,PENDING,4/26/2026 6:36:24 AM
